Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
r_0005	0.6437	0.6437	0.0000	0.0000
r_0109	1.0182	1.2387	0.0000	0.1372
r_0226	55.2152	58.0024	0.0000	44.4734
r_0361	0.6114	0.6114	0.0000	0.0000
r_0362	0.6114	0.6114	0.0000	0.0000
r_0366	7.0340	9.0160	-82.9575	5.9367
r_0438	81.7959	82.9412	0.0000	66.6000
r_0439	40.8980	41.4706	0.0000	33.3000
r_0445	8.8339	12.4546	0.0000	6.3434
r_0502	9.3047	12.9254	-38.7457	8.0433
r_0569	3.2566	7.2909	0.0000	0.8367
r_0722	0.6114	0.6114	0.0000	0.0000
r_0725	9.1310	12.7517	-38.7457	8.0434
r_0732	9.1310	12.7517	-261.2200	8.0434
r_0815	-0.3362	0.3555	-19.5756	-1.1422
r_0888	1.2885	1.8264	0.0000	0.5578
r_0893	7.0340	9.0160	-82.9575	5.9367
r_1110	54.7993	57.6809	-39.3000	44.4734
r_1277	-45.2518	-41.2174	-264.5533	-62.5633
r_1568	-0.0189	-0.0002	-4.2074	-1.7000
r_1654	-6.4982	-6.1486	-80.7351	-11.9000
r_1672	22.3689	22.9296	0.0000	20.9000
r_1697	22.3689	22.9296	0.0000	20.9000
r_1811	8.8346	12.4553	-38.7457	6.3433
r_1978	20.4490	20.7353	0.0000	16.6500
r_1979	21.2057	21.4921	0.0000	17.5000
r_2005	-10.9752	-2.9066	-409.1067	-27.2266
r_2032	3.2566	7.2909	-153.4150	0.8367
r_2060	-0.3141	-0.0740	-55.5153	-1.7000
r_2108	0.8600	0.8600	0.0000	0.0000
r_4041	0.8600	0.8600	0.0000	0.0000
r_4047	0.8600	0.8600	0.0000	0.0000
r_4048	0.8600	0.8600	0.0000	0.0000
r_4049	0.8600	0.8600	0.0000	0.0000
r_4050	0.8600	0.8600	0.0000	0.0000
r_4063	0.8600	0.8600	0.0000	0.0000
r_4065	0.8600	0.8600	0.0000	0.0000
r_4460	-5.2723	-1.2381	-204.5533	-11.0633
r_4598	0.8600	0.8600	0.0000	0.0000
r_4599	0.8600	0.8600	0.0000	0.0000
