Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
r_0013	0.0002	0.0842	1.7000	14.5062
r_0019	0.0002	0.0189	1.7000	241.2200
r_0026	0.0000	0.0842	1.6792	14.5062
r_0032	0.0346	0.3257	1.6874	61.3660
r_0063	0.0002	0.0189	1.7000	4.2074
r_0075	0.0002	0.0842	1.7000	14.5062
r_0079	0.1832	0.2290	1.7000	9.5899
r_0086	0.0002	0.0842	1.7000	14.5062
r_0087	0.0002	0.0842	1.7000	14.5062
r_0091	0.0000	4.9790	6.7610	241.2200
r_0096	0.5544	0.6036	1.7000	10.0000
r_0097	0.5544	0.6036	1.7000	10.0000
r_0139	0.0000	0.0842	1.3197	14.5062
r_0145	0.0002	0.0842	1.7000	14.5062
r_0148	6.3423	7.3416	11.5197	204.5533
r_0151	0.1832	0.2290	1.7000	9.5899
r_0152	0.2074	0.8187	1.7000	130.6100
r_0153	0.2074	0.8187	1.7000	130.6100
r_0154	0.0568	0.2969	1.7000	55.5153
r_0172	0.0002	0.0842	1.7000	14.5062
r_0309	0.0000	0.6179	1.1422	83.8610
r_0352	0.5544	0.6036	1.7000	10.0000
r_0446	-12.3198	-8.6991	-4.4157	76.4880
r_0452	-0.9643	1.6700	2.3541	130.6100
r_0466	0.0000	4.9790	6.8499	25.1741
r_0476	1.1576	2.8173	3.4000	211.2200
r_0499	0.1832	0.2290	1.7000	9.5899
r_0503	-6.2276	-4.4172	-2.3217	38.7457
r_0570	0.2487	0.2945	1.7000	9.5899
r_0723	-0.6525	-0.6114	-0.0256	-0.0000
r_0726	0.1198	0.4569	1.7000	76.7075
r_0841	0.0000	0.2691	1.6863	61.3660
r_0842	0.0002	0.0077	1.7000	1.7046
r_0843	0.0002	0.0189	1.7000	4.2074
r_0855	0.1832	0.2290	1.7000	9.5899
r_0883	0.0568	0.2969	1.7000	55.5153
r_0902	-0.6525	-0.6114	-0.0256	-0.0000
r_0905	0.0002	0.0077	1.7000	1.7046
r_0906	0.0002	0.0077	1.7000	1.7046
r_0908	0.1832	0.2290	1.7000	9.5899
r_0911	0.1832	0.2290	1.7000	9.5899
r_0912	0.2487	0.2945	1.7000	9.5899
r_0914	0.1832	0.2290	1.7000	9.5899
r_0915	0.1832	0.2290	1.7000	9.5899
r_0916	0.5697	1.1078	3.0197	118.8020
r_0937	0.0002	0.0842	1.7000	14.5062
r_0982	0.4999	2.1595	4.0783	29.1847
r_1002	0.0002	0.0842	1.7000	14.5062
r_1027	0.0568	0.1572	1.7000	22.7343
r_1038	0.0671	0.3259	1.7000	57.2318
r_1115	6.1486	6.4982	11.9000	76.4880
r_1244	2.9066	10.9752	27.2266	409.1067
r_1266	0.0740	0.3141	1.7000	55.5153
r_1703	0.0000	0.9118	1.4211	204.5533
r_1736	0.0000	0.2691	1.6863	61.3660
r_1748	-0.6114	-0.6114	-0.0000	-0.0000
r_1932	-0.6114	-0.6114	-0.0000	-0.0000
r_1992	-21.4921	-21.2057	-17.5000	25.1741
r_2045	-6.2276	-4.4172	-2.3217	38.7457
r_2100	41.2174	45.2518	62.5633	264.5533
r_4224	0.0000	1.3447	5.1339	241.2200
r_4484	-0.3555	0.1070	1.1422	11.1183
r_4527	1.2381	5.2723	11.0633	204.5533
